Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Ge-84,Ge,32,84,,83.93750309954434,False,0.954,954.00 ms,953.9999999999999,ms,2,"['β-', 'β-,n']","[np.float64(0.898), np.float64(0.102)]","['As-84', 'As-83']",1432388.0,2632833.0,57271.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cs-145,Cs,55,145,,144.93561773603398,False,0.587,587.00 ms,587.0,ms,2,"['β-', 'β-,n']","[np.float64(0.853), np.float64(0.147)]","['Ba-145', 'Ba-144']",566699.9,2617570.0,49465.08,3265000.0,562500.0,0.0,2597000.0,0.0,0.0,49470.0,0.0,6899000.0
Cr-66,Cr,24,66,,65.97340654001754,False,0.01,10.00 ms,10.0,ms,1,['β-'],[np.float64(1.0)],['Mn-66'],4136667.0,4136667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nd-139,Nd,60,139,,138.91207044518285,False,1782.0,29.70 m,29.7,m,1,['β+&EC'],[np.float64(1.0)],['Pr-139'],421026.9,208450.4,0.0,2192000.0,139900.0,0.0,0.0,0.0,0.0,0.0,0.0,2810000.0
Tm-157,Tm,69,157,,156.93701978076663,False,217.8,3.63 m,3.6300000000000003,m,1,['β+&EC'],[np.float64(1.0)],['Er-157'],1570188.0,1570188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-8,B,5,8,,8.02461008782953,False,0.77,770.00 ms,770.0,ms,1,"['β+,α']",[np.float64(1.0)],['He-4'],4517936.0,4517936.0,4517936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pr-158,Pr,59,158,,157.9520396472698,False,0.1342,134.20 ms,134.20000000000002,ms,2,"['β-', 'β-,n']","[np.float64(0.84218), np.float64(0.15782)]","['Nd-158', 'Nd-157']",2889063.0,2574710.0,47965.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo-92,Mo,42,92,,91.90684639961134,True,inf,Stable,inf,s,0,[None],[np.float64(0.0)],[None],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba-126,Ba,56,126,,125.91128284571373,False,6000.0,1.67 h,1.6666666666666667,h,1,['β+&EC'],[np.float64(1.0)],['Cs-126'],574315.3,13981.26,0.0,1093000.0,542800.0,0.0,0.0,0.0,0.0,0.0,0.0,1675000.0
Mn-63,Mn,25,63,,62.95026523693969,False,0.29,290.00 ms,290.0,ms,1,['β-'],[np.float64(1.0)],['Fe-63'],2916210.0,2916210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
